PassengerId,Survived_pred,Probability_sur
892,0,0.03448577785216215
893,0,0.044076075332175724
894,0,0.454024981536975
895,1,0.5176340582138966
896,0,0.3248895796763795
897,0,0.07436768980006882
898,0,0.18155771767821988
899,0,0.06789852812177298
900,1,0.8643948085352496
901,0,0.021777737817620862
902,0,0.03908250075412442
903,0,0.0624924846977402
904,1,0.9702037658188882
905,0,0.06437677547259761
906,1,0.9716246328315176
907,1,0.9541871747599721
908,0,0.10079698254544446
909,1,0.6482814883118435
910,1,0.7610420753141853
911,0,0.08784187981262039
912,1,0.5925375774096636
913,1,0.5672879824777853
914,1,0.97814750571055
915,1,0.6488632792171714
916,1,0.9836798660270963
917,0,0.022294006150100767
918,1,0.9951867541799643
919,1,0.6482814883118435
920,1,0.6587653972660932
921,0,0.09375000445182291
922,0,0.045685367559372435
923,0,0.05909839713371855
924,1,0.811233829350966
925,0,0.10926626404915984
926,0,0.30589696074253186
927,0,0.06665344072890073
928,0,0.1560213318878444
929,0,0.09655259549306479
930,0,0.04523745114740356
931,1,0.9071994226864226
932,0,0.06746451224994338
933,1,0.5133635457316617
934,0,0.0330614785680844
935,1,0.9298853397498253
936,1,0.9922297601834539
937,0,0.10168983530866307
938,0,0.18773124939680635
939,0,0.04126648657893548
940,1,0.9922140946962945
941,1,0.9519426536120132
942,0,0.19578283812797886
943,0,0.12535119973486747
944,1,0.9249044167512706
945,1,0.8847299119146735
946,0,0.2571491966706494
947,0,0.011324592341552525
948,0,0.042034893651597544
949,0,0.07666489554232771
950,0,0.054140644875990775
951,1,0.990018905428781
952,0,0.08986207470274385
953,0,0.19293012495043066
954,0,0.033601081789501365
955,1,0.9044221446054445
956,0,0.10276678322721207
957,1,0.80388052440086
958,1,0.7847120186912494
959,0,0.46501721268899177
960,0,0.2741277203087969
961,1,0.913303925352529
962,1,0.7125175134659605
963,0,0.03790431305342442
964,0,0.2757323387566684
965,0,0.12292272449694164
966,1,0.9918017060399614
967,0,0.06755901466972264
968,0,0.051533447826712035
969,1,0.9491496252627248
970,0,0.16851016790358897
971,1,0.7125175134659605
972,1,0.9875303575658996
973,0,0.024442348084233796
974,0,0.14617600255192315
975,0,0.03908250075412442
976,0,0.07297893057430951
977,0,0.05249410772258253
978,1,0.9725692881661798
979,1,0.5281469652927978
980,1,0.8336193729140027
981,1,0.9740312845030056
982,0,0.20797365112760613
983,0,0.13546727851701468
984,1,0.9140663617892373
985,0,0.051533447826712035
986,1,0.5978404834863382
987,0,0.13066819751026604
988,1,0.9929176715286647
989,0,0.1742766878809608
990,0,0.4758563413850655
991,0,0.11436111261541763
992,1,0.9751184151926816
993,0,0.054204034409697524
994,0,0.04126648657893548
995,0,0.1502824218220321
996,1,0.6464634305071703
997,0,0.04182421574953858
998,0,0.0375232504130727
999,0,0.04126648657893548
1000,0,0.049892357430840015
1001,0,0.06995297117929677
1002,0,0.053313236390681494
1003,1,0.8336193729140027
1004,1,0.9928668185097328
1005,1,0.8802888475383508
1006,1,0.9958988514769468
1007,0,0.0823930996636475
1008,0,0.02569549403027924
1009,1,0.9562388199589478
1010,0,0.49201529181003023
1011,1,0.9504604979217464
1012,1,0.9751247560527678
1013,0,0.05315838266895434
1014,1,0.9897123513706169
1015,0,0.0370234935243916
1016,0,0.04126648657893548
1017,1,0.857370376478322
1018,0,0.11433518648209448
1019,1,0.8575845916768458
1020,0,0.27619186169246757
1021,0,0.03184723410690737
1022,0,0.1793872551596462
1023,0,0.04290305074487649
1024,0,0.07041615648141107
1025,0,0.02602289740396461
1026,0,0.046508732207837106
1027,0,0.05866039635142826
1028,0,0.47208072183341104
1029,0,0.0518011306453742
1030,0,0.08301593680740316
1031,0,0.015837577194607284
1032,0,0.05412048746869358
1033,1,0.9827122849980544
1034,0,0.27461290227302904
1035,0,0.05305552072717225
1036,1,0.7017678268528752
1037,0,0.07077285889110238
1038,0,0.08081909509821757
1039,0,0.03184723410690737
1040,1,0.5133635457316617
1041,0,0.05818583177422374
1042,1,0.9941064602288218
1043,0,0.12615458763995102
1044,0,0.02259421356971538
1045,1,0.903507436475846
1046,0,0.06624662138041215
1047,0,0.06656521837785405
1048,1,0.9793376737180246
1049,0,0.4082500517125836
1050,1,0.7017678268528752
